book_id;read_order;book_title;author_first_name;author_last_name;book_genre;format;language;pages;month_read;rating;owned;series_number;series_name;year_published;has_quotes;top_book
1;1;Читець;Бернхард;Шлінк ;роман;Print;Ukrainian;189;January;5;yes;;;1995;yes;+
2;2;Емоційний інтелект у дитини;Джон, Джоан;Готтман, Деклер;психологія;Print;Ukrainian;272;January;5;no;;;1997;yes;
3;3;Ми, живі;Айн;Ренд;історичний роман;Print;Ukrainian;504;January;5;yes;;;1936;yes;+
4;4;The secret garden;Frances Hodgson;Burnett;дитяча новела;Print;English;288;January;4;yes;;;1910;yes;
5;5;Необхідне зло;Абір;Мухерджі;детектив;Audio;Ukrainian;400;January;5;no;2;капітан Віндгем та сержант Бенерджі;2017;yes;
6;6;Незриме життя Адді Лярю;Вікторія;Шваб;історичне фентезі;Ebook;Ukrainian;544;February;4;yes;;;2020;yes;
7;7;Дим і попіл;Абір;Мухерджі;детектив;Audio;Ukrainian;352;February;5;no;3;капітан Віндгем та сержант Бенерджі;2018;no;
8;8;Дім голосів;Донато;Каррізі;психологічний трилер;Ebook;Ukrainian;304;February;5;yes;1;Слідство П'єтро Джербера;2019;yes;+
9;9;Машина часу;Герберт;Веллс;науково-фантастичний роман;Audio;Ukrainian;240;February;4;no;;;1888;yes;
10;10;Холлі;Стівен;Кінг;детектив;Ebook;Ukrainian;608;February;5;yes;;;2023;yes;+
11;11;Червоні лубутени;Джоджо;Мойєс;любовний роман;Ebook;Ukrainian;448;February;5;yes;;;2023;yes;+
12;12;Список бажань;Йон;Колфер;фантастична повість;Audio;Ukrainian;288;February;5;no;;;2007;no;
13;13;Північний вітер;Даніель;Глаттауер;роман;Audio;Ukrainian;192;March;3;no;;;2006;no;
14;14;Смерть на Сході;Абір;Мухерджі;детектив;Audio;Ukrainian;400;March;4;no;4;капітан Віндгем та сержант Бенерджі;2019;yes;
15;15;Крамничка на розі;Джоджо;Мойєс;любовний роман;Ebook;Ukrainian;480;March;3;yes;;;2005;yes;
16;16;Бальзам для душі;Норберт;Лехляйтнер;релігія, християнство;Print;Ukrainian;188;March;4;no;;;2022;yes;
17;17;Червоний дракон;Томас;Гарріс;жахи, трилер;Audio;Ukrainian;400;March;5;no;1;Ганнібал Лектер;1981;yes;+
18;18;Мовчання ягнят;Томас;Гарріс;жахи, трилер;Audio;Ukrainian;338;March;5;no;2;Ганнібал Лектер;1988;yes;+
19;19;Часосховище;Георгі;Господінов;роман;Ebook;Ukrainian;360;March;3;yes;;;2020;yes;
20;20;Ганнібал;Томас;Гарріс;жахи, трилер;Audio;Ukrainian;512;March;5;no;3;Ганнібал Лектер;1999;yes;+
21;21;Сходження Ганнібала;Томас;Гарріс;жахи, трилер;Audio;Ukrainian;288;April;5;no;4;Ганнібал Лектер;2006;yes;+
22;22;Четверте крило;Ребекка;Яррос;романтичне фентезі;Audio;Ukrainian;528;April;4;no;1;Емпіреї;2023;no;
23;23;Смарагдове небо;Ілона;Верхівська-Ельтек;поезія;Print;Ukrainian;412;April;4;no;;;2024;no;
24;24;Дев'ять життів Крістофера Чанта;Діана Вінн;Джонс;дитяче фентезі;Ebook;Ukrainian;358;April;4;no;;;1988;yes;
25;25;Залізне полум'я;Ребекка;Яррос;романтичне фентезі;Audio;Ukrainian;623;April;4;no;2;Емпіреї;2023;no;
26;26;Поглиначі мертвих;Майкл;Крайтон;історичний роман;Ebook;Ukrainian;272;April;5;yes;;;1976;yes;+
27;27;Типу Б'юїк 8;Стівен;Кінг;"фантастика; жахи";Audio;Ukrainian;496;April;4;no;;;2002;no;
28;28;Родаки;Дмитро;Кешеля;роман-колаж;Audio;Ukrainian;384;April;4;no;;;2016;no;
29;29;Штормовий фронт;Джим;Бутчер;міське детективне фентезі;Audio;Ukrainian;322;May;4;no;1;Справи Дрездена;2000;no;
30;30;Невгамовні мерці;Саймон;Бекетт;детективний трилер;Print;Ukrainian;496;May;5;yes;5;Девід Хантер;2017;yes;+
31;31;Безрозсудний місяць;Джим;Бутчер;міське детективне фентезі;Audio;Ukrainian;352;May;4;no;2;Справи Дрездена;2001;no;
32;32;Смертельна небезпека;Джим;Бутчер;міське детективне фентезі;Audio;Ukrainian;378;May;4;no;3;Справи Дрездена;2001;no;
33;33;Палюче тепло вб'є нас найперше;Джефф;Гуделл;наук-поп;Print;Ukrainian;368;May;5;yes;;;2024;yes;
34;34;Зоряні війни: Стара Республіка: Реван;Дрю;Карпишин;наукова фантастика;Audio;Ukrainian;320;May;5;no;;;2011;no;+
35;35;Війна з саламандрами;Карел;Чапек;"фантастика; антиутопія";Audio;Ukrainian;256;June;5;no;;;1936;no;+
36;36;Запах смерті;Саймон;Бекетт;детективний трилер;Print;Ukrainian;368;June;5;yes;6;Девід Хантер;2019;no;+
37;37;Гаррі Поттер і методи раціональності;Еліезер;Юдковський;"фентезі; фанфік";Audio;Ukrainian;2184;June;5;no;1;Гаррі Поттер (фанфік);2010;no;
38;38;Гаррі Поттер та ігри професора;Еліезер;Юдковський;"фентезі; фанфік";Audio;Ukrainian;;June;5;no;2;Гаррі Поттер (фанфік);;no;
39;39;Соляріс;Станіслав;Лем;науково-фантастичний роман;Audio;Ukrainian;352;June;5;no;;;1961;no;
